2020-04-04 10:51:17.439 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-04-04 10:51:17.442 [main] INFO  net.gaven.redisdemo.RedisDemoApplication - Started RedisDemoApplication in 6.203 seconds (JVM running for 6.668)
2020-04-04 10:51:18.664 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-04-04 10:51:18.664 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-04-04 10:51:18.670 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 6 ms
2020-04-04 11:12:47.532 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-04-04 11:12:47.534 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2020-04-04 11:12:47.536 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-04-04 11:12:52.556 [main] INFO  net.gaven.redisdemo.RedisDemoApplication - Starting RedisDemoApplication on LiGangdeMacBook-Pro.local with PID 2197 (/Users/ligang/IdeaProjects/redis-demo-master/target/classes started by ligang in /Users/ligang/IdeaProjects/redis-demo-master)
2020-04-04 11:12:52.557 [main] INFO  net.gaven.redisdemo.RedisDemoApplication - No active profile set, falling back to default profiles: default
2020-04-04 11:12:53.099 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-04-04 11:12:53.100 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-04-04 11:12:53.117 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9ms. Found 0 Redis repository interfaces.
2020-04-04 11:12:53.465 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-04-04 11:12:53.472 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-04-04 11:12:53.472 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-04-04 11:12:53.473 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-04-04 11:12:53.535 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-04-04 11:12:53.535 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 930 ms
2020-04-04 11:12:54.459 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-04-04 11:12:54.683 [main] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2020-04-04 11:12:54.684 [main] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2020-04-04 11:12:57.903 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-04-04 11:12:58.595 [main] INFO  o.s.s.a.ScheduledAnnotationBeanPostProcessor - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2020-04-04 11:12:58.600 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-04-04 11:12:58.612 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-04-04 11:12:58.615 [main] INFO  net.gaven.redisdemo.RedisDemoApplication - Started RedisDemoApplication in 6.376 seconds (JVM running for 6.768)
2020-04-04 11:12:59.034 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-04-04 11:12:59.035 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-04-04 11:12:59.039 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2020-04-04 11:12:59.377 [http-nio-8080-exec-1] INFO  net.gaven.redisdemo.schedule.ClusterRedisLock - lock is used by：LiGangdeMacBook-Pro.local
2020-04-04 11:14:03.269 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-04-04 11:14:03.270 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2020-04-04 11:14:03.273 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-04-04 11:14:06.283 [main] INFO  net.gaven.redisdemo.RedisDemoApplication - Starting RedisDemoApplication on LiGangdeMacBook-Pro.local with PID 2207 (/Users/ligang/IdeaProjects/redis-demo-master/target/classes started by ligang in /Users/ligang/IdeaProjects/redis-demo-master)
2020-04-04 11:14:06.285 [main] INFO  net.gaven.redisdemo.RedisDemoApplication - No active profile set, falling back to default profiles: default
2020-04-04 11:14:06.712 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-04-04 11:14:06.714 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-04-04 11:14:06.731 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9ms. Found 0 Redis repository interfaces.
2020-04-04 11:14:07.087 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-04-04 11:14:07.094 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-04-04 11:14:07.094 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-04-04 11:14:07.094 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-04-04 11:14:07.157 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-04-04 11:14:07.158 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 824 ms
2020-04-04 11:14:07.820 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-04-04 11:14:08.015 [main] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2020-04-04 11:14:08.016 [main] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2020-04-04 11:14:09.998 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-04-04 11:14:10.679 [main] INFO  o.s.s.a.ScheduledAnnotationBeanPostProcessor - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2020-04-04 11:14:10.684 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-04-04 11:14:10.696 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-04-04 11:14:10.699 [main] INFO  net.gaven.redisdemo.RedisDemoApplication - Started RedisDemoApplication in 4.737 seconds (JVM running for 5.14)
2020-04-04 11:14:15.903 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-04-04 11:14:15.903 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-04-04 11:14:15.907 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2020-04-04 11:15:46.143 [http-nio-8080-exec-4] INFO  net.gaven.redisdemo.schedule.ClusterRedisLock - lock is used by：LiGangdeMacBook-Pro.local
2020-04-04 11:17:46.282 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-04-04 11:17:46.286 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2020-04-04 11:17:46.290 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-04-04 11:18:00.877 [main] INFO  net.gaven.redisdemo.RedisDemoApplicationTests - Starting RedisDemoApplicationTests on LiGangdeMacBook-Pro.local with PID 2228 (started by ligang in /Users/ligang/IdeaProjects/redis-demo-master)
2020-04-04 11:18:00.878 [main] INFO  net.gaven.redisdemo.RedisDemoApplicationTests - No active profile set, falling back to default profiles: default
2020-04-04 11:18:01.390 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-04-04 11:18:01.392 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-04-04 11:18:01.416 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12ms. Found 0 Redis repository interfaces.
2020-04-04 11:18:06.684 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-04-04 11:18:06.711 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-04-04 11:24:00.462 [main] INFO  net.gaven.redisdemo.RedisDemoApplication - Starting RedisDemoApplication on LiGangdeMacBook-Pro.local with PID 2303 (/Users/ligang/IdeaProjects/redis-demo-master/target/classes started by ligang in /Users/ligang/IdeaProjects/redis-demo-master)
2020-04-04 11:24:00.464 [main] INFO  net.gaven.redisdemo.RedisDemoApplication - No active profile set, falling back to default profiles: default
2020-04-04 11:24:00.970 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-04-04 11:24:00.971 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-04-04 11:24:00.990 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9ms. Found 0 Redis repository interfaces.
